,,موضوع,زمان شروع,مدت,زمان پایان
,افتتاحیه,,8:00:00 AM,15,8:15:00 AM
سخنران,مجید نیلی احمدآبادی,هوش مصنوعی انسان‌محور: مقیاس‌پذیری توسعه سرمایه انسانی,8:15:00 AM,20,8:35:00 AM
ارائه تجربه,چارگون,از داده به بینش، تحول منابع‌انسانی با تحلیل یکپارچه,8:35:00 AM,30,9:05:00 AM
ارائه تجربه,توسن تکنو,تحول دیجیتال در سرمایه انسانی شرکت توسن تکنو,9:05:00 AM,30,9:35:00 AM
کارگاه,محمدرضا میرزایی,کاربردهای مدل‌های زبانی بزرگ (LLMs) و آنالیز سری‌های زمانی در تحلیل‌گری منابع انسانی,9:35:00 AM,30,10:05:00 AM
ارائه تجربه,فناپ,حکمرانی و سیاست گذاری داده محور نظام جبران خدمات,10:05:00 AM,30,10:35:00 AM
,آنتراکت,,10:35:00 AM,30,11:05:00 AM
ارائه تجربه,همکاران سیستم,هوش مصنوعی و مسیرهای نوآورانه آنبوردینگ مدیران,11:05:00 AM,30,11:35:00 AM
سخنران,عسل آغاز,داستان سرایی داده‌محور برای مدیران: از تحلیل تا تصمیم,11:35:00 AM,20,11:55:00 AM
پنل,پنل مدیرعامل,از شهود تا شواهد: پیش‌نیازهای سازمانی برای استقرار موفق تحلیلگری منابع انسانی از منظر مدیران عامل,11:55:00 AM,80,1:15:00 PM
,تایم ناهار و شبکه سازی,,1:15:00 PM,60,2:15:00 PM
سخنران,سعید روشنی,انقلاب زبان در سازمان‌ها: از پردازش زبان طبیعی (NLP) تا مزیت رقابتی,2:15:00 PM,20,2:35:00 PM
پنل,پنل مدیران ارشد منابع انسانی,تحلیلگری منابع انسانی در عمل: چالش‌ها و فرصت‌های پیاده‌سازی HR Analytics از دیدگاه مدیران ارشد منابع انسانی,2:35:00 PM,60,3:35:00 PM
ارائه تجربه,رستافن,ارزیابی از مدیران: از تحلیل داده‌محور تا اقدامات ملموس,3:35:00 PM,30,4:05:00 PM
سخنران,بهاره گوهرین,همگام با تغییر ذهنیت در عصر AI,4:05:00 PM,10,4:15:00 PM
,آنتراکت,,4:15:00 PM,30,4:45:00 PM
ارائه تجربه,ایرانسل,رمزگشایی برند کارفرمایی: ترجمه ادراک به زبان داده,4:45:00 PM,30,5:15:00 PM
کارگاه,محمدحسن بهمن‌پور,گام‌به‌گام تا پیاده‌سازی HR Analytics در تیم‌های مجازی,5:15:00 PM,30,5:45:00 PM
ارائه تجربه,اسنپ فود,معماری تجربه کارکنان اسنپ فود با تکیه بر داده,5:45:00 PM,30,6:15:00 PM
,اختتامیه و عکس یادگاری,,6:15:00 PM,15,6:30:00 PM
